k,w,b,true_jaccard,estimated_jaccard_kmers,estimated_jaccard_minimizers,time_kmers,time_minimizers,erm_kmers,eam_kmers,erm_minimizers,eam_minimizers
20,50,10,0,0,0.0117704,0.0539089,0.88103,0,0,0.0117704,0.0117704
20,50,10,0,0.0036752,0,0.0078172,0.159727,0.0036752,0.0036752,0,0
20,50,10,0,0,0.00281184,0.0572103,0.869638,0,0,0.00281184,0.00281184
20,50,10,0,0.007424,0.00449657,0.51215,7.22507,0.007424,0.007424,0.00449657,0.00449657
20,50,10,0,0.00102492,0,0.0524252,0.758053,0.00102492,0.00102492,0,0
20,50,10,0.000153953,0.00741619,0,0.0907781,1.58209,47.1718,0.00726224,1,0.000153953
20,50,10,9.53171e-05,0,0.000676807,0.504173,7.91872,1,9.53171e-05,6.10058,0.00058149
20,50,10,0,0.000951496,0,0.0513599,0.882546,0.000951496,0.000951496,0,0
20,50,10,0,0.000105066,0.000104169,0.498827,7.18862,0.000105066,0.000105066,0.000104169,0.000104169
20,50,10,0.000120845,0,0,0.549119,8.3333,1,0.000120845,1,0.000120845
20,50,14,0,0,0,0.0540775,0.951597,0,0,0,0
20,50,14,0,0.00172789,0.000432428,0.0097871,0.14969,0.00172789,0.00172789,0.000432428,0.000432428
20,50,14,0,0.00147843,0,0.0573367,0.916556,0.00147843,0.00147843,0,0
20,50,14,0,0.000800421,0.00151888,0.481412,7.02395,0.000800421,0.000800421,0.00151888,0.00151888
20,50,14,0,0.000280679,0.00051334,0.047793,0.772984,0.000280679,0.000280679,0.00051334,0.00051334
20,50,14,0.000153953,0.00615436,0,0.0915002,1.50461,38.9756,0.00600041,1,0.000153953
20,50,14,9.53171e-05,0.00203202,0,0.471714,7.59347,20.3185,0.0019367,1,9.53171e-05
20,50,14,0,0.000115167,0.000928466,0.0678197,0.76845,0.000115167,0.000115167,0.000928466,0.000928466
20,50,14,0,0.000109492,2.56131e-05,0.428618,6.94438,0.000109492,0.000109492,2.56131e-05,2.56131e-05
20,50,14,0.000120845,0.00113268,0,0.554525,8.96695,8.37306,0.00101184,1,0.000120845
20,100,10,0,0,0.0140352,0.0790196,2.58404,0,0,0.0140352,0.0140352
20,100,10,0,0.0036752,0,0.0095051,0.383928,0.0036752,0.0036752,0,0
20,100,10,0,0,0.00432036,0.051526,2.38639,0,0,0.00432036,0.00432036
20,100,10,0,0.007424,0.00128029,0.496684,18.2236,0.007424,0.007424,0.00128029,0.00128029
20,100,10,0,0.00102492,0.000744114,0.0412407,1.81529,0.00102492,0.00102492,0.000744114,0.000744114
20,100,10,0.000153953,0.00741619,0,0.0953785,3.72523,47.1718,0.00726224,1,0.000153953
20,100,10,9.53171e-05,0,0.0199499,0.455034,19.7909,1,9.53171e-05,208.3,0.0198546
20,100,10,0,0.000951496,0.000162161,0.053437,1.89592,0.000951496,0.000951496,0.000162161,0.000162161
